Longitude,Latitude,Bouguer_gravity_anomaly_mGals
-89.37805555555555,28.95694444444444,47.24
-89.38,28.966666666666665,43.45
-89.14722222222223,28.983611111111117,50.09
-89.35527777777777,29.004444444444445,46.13
-89.36999999999999,29.036944444444448,43.08
-90.76611111111112,29.03805555555556,11.05
-90.74388888888888,29.041944444444447,11.85
-89.19277777777778,29.0425,49.52
-90.91638888888887,29.04527777777778,10.03
-90.73694444444445,29.048333333333336,11.9
-90.3913888888889,29.048611111111114,17.77
-90.4088888888889,29.05027777777778,17.34
-89.2063888888889,29.058055555555555,48.66
-90.31583333333332,29.059722222222224,15.6
-89.34694444444445,29.059722222222224,42.89
-89.26166666666667,29.06305555555556,46.63
-90.30944444444444,29.065555555555555,14.51
-89.28277777777778,29.07138888888889,46.43
-90.44722222222222,29.073055555555555,14.69
-89.39888888888889,29.07638888888889,39.97
-89.05361111111111,29.079722222222223,50.06
-89.37083333333332,29.08,40.37
-90.22083333333332,29.08388888888889,15.18
-90.59138888888889,29.086666666666662,17.88
-90.20055555555555,29.089166666666664,11.42
-90.58638888888888,29.093888888888888,17.9
-89.1363888888889,29.09611111111111,43.96
-90.7875,29.09722222222222,9.33
-90.34027777777776,29.10555555555556,20.64
-90.27555555555556,29.10777777777778,17.5
-90.475,29.110277777777775,14.68
-90.1538888888889,29.111666666666668,12.38
-90.79416666666668,29.11277777777778,8.36
-90.6363888888889,29.113611111111112,12.16
-91.13111111111112,29.11583333333333,17.74
-89.06888888888888,29.11888888888889,49.08
-89.37138888888889,29.12388888888889,37.37
-90.47805555555556,29.124166666666667,16.2
-90.64555555555556,29.12638888888889,10.39
-89.24111111111111,29.127222222222223,46.32
-90.70861111111113,29.129722222222224,7.21
-90.23666666666666,29.13,21.67
-90.11694444444444,29.137777777777774,22.27
-89.41638888888889,29.144166666666667,36.5
-90.39972222222222,29.148888888888887,21.58
-90.10388888888887,29.149722222222223,26.0
-89.39750000000001,29.153055555555557,36.0
-90.78444444444445,29.154444444444444,5.11
-90.88138888888888,29.154722222222222,8.93
-89.15916666666668,29.156666666666663,45.18
-90.17611111111113,29.158055555555556,23.75
-90.93055555555556,29.162777777777777,12.96
-89.00111111111111,29.166944444444447,52.49
-89.37027777777777,29.169722222222223,39.09
-90.29805555555556,29.17027777777778,23.75
-89.13861111111112,29.171111111111117,45.45
-90.78222222222222,29.171666666666667,4.11
-89.26944444444445,29.1725,44.72
-90.9502777777778,29.174166666666668,12.16
-90.63805555555555,29.174444444444447,10.35
-91.02944444444444,29.178611111111117,9.58
-89.20583333333333,29.18055555555556,45.74
-89.03,29.185277777777777,52.29
-90.28027777777778,29.18694444444445,23.17
-90.08361111111113,29.190277777777776,27.13
-90.20944444444444,29.195833333333333,23.97
-90.69472222222224,29.198888888888888,7.84
-90.49194444444444,29.199444444444445,14.38
-89.46694444444445,29.200555555555557,35.25
-90.03999999999999,29.204444444444444,26.28
-90.03999999999999,29.204444444444444,26.08
-90.05583333333333,29.20722222222222,26.11
-89.22722222222222,29.20861111111111,43.71
-89.11861111111111,29.210833333333333,44.22
-89.38722222222223,29.21361111111111,37.37
-91.1325,29.21583333333333,8.3
-90.70972222222224,29.21611111111111,8.5
-90.21722222222222,29.219166666666663,20.31
-90.42583333333334,29.22277777777777,14.11
-90.56388888888888,29.224444444444444,13.8
-90.37138888888887,29.22722222222222,14.34
-90.40833333333336,29.23,13.77
-90.03583333333333,29.230277777777776,26.75
-90.00027777777778,29.230833333333333,26.69
-89.18944444444445,29.231388888888887,42.16
-90.64361111111111,29.2325,12.34
-90.71444444444444,29.23611111111111,10.88
-91.22555555555556,29.2375,9.17
-89.38305555555554,29.23805555555556,36.68
-91.03111111111112,29.238611111111112,8.13
-89.97888888888889,29.241666666666667,25.53
-90.20527777777778,29.2425,16.85
-89.9738888888889,29.24388888888889,26.6
-91.12888888888888,29.24416666666667,8.83
-89.43333333333334,29.245,35.57
-89.56388888888888,29.246111111111112,33.33
-90.61138888888888,29.24833333333333,12.15
-89.49972222222222,29.25027777777778,34.97
-90.78722222222224,29.25138888888889,8.0
-89.96805555555555,29.2525,26.85
-89.96055555555556,29.253055555555555,26.46
-89.96055555555556,29.253055555555555,25.94
-90.79,29.254722222222224,7.79
-89.28361111111111,29.2575,40.47
-90.29277777777776,29.259166666666665,14.72
-90.10416666666666,29.259722222222223,24.22
-90.8786111111111,29.26083333333333,11.19
-90.93388888888887,29.26361111111111,12.35
-89.95527777777778,29.26388888888889,25.81
-89.95527777777778,29.26388888888889,25.62
-89.9575,29.264444444444443,25.57
-89.95777777777778,29.264722222222225,25.51
-89.95777777777778,29.264722222222225,25.56
-89.95777777777778,29.264722222222225,25.43
-89.95777777777778,29.264722222222225,25.73
-89.95777777777778,29.264722222222225,25.62
-89.63388888888889,29.265555555555554,30.71
-90.92583333333334,29.270555555555557,12.21
-90.8411111111111,29.273888888888887,10.12
-90.08611111111112,29.279444444444444,22.66
-89.36166666666666,29.279722222222222,37.82
-89.35944444444443,29.28,38.53
-90.70527777777778,29.280277777777776,12.9
-89.36166666666666,29.281666666666663,38.51
-91.17305555555556,29.28638888888889,6.79
-90.0961111111111,29.28638888888889,21.92
-89.2425,29.28666666666667,39.64
-90.49638888888887,29.28777777777778,11.49
-89.90555555555557,29.29527777777778,25.94
-91.03833333333333,29.297500000000003,8.38
-91.24111111111112,29.299722222222226,8.97
-89.72555555555556,29.299722222222226,27.1
-90.6286111111111,29.301666666666662,10.76
-90.31777777777778,29.30388888888889,11.84
-89.47611111111111,29.30444444444445,32.97
-89.74833333333333,29.307222222222222,26.03
-89.85305555555556,29.309166666666663,25.38
-89.60222222222221,29.311666666666667,28.43
-90.53388888888888,29.31194444444445,10.67
-89.98305555555555,29.31305555555556,21.78
-90.28333333333332,29.314444444444444,11.98
-90.19972222222222,29.31722222222222,15.29
-90.41305555555556,29.31722222222222,10.75
-89.21944444444445,29.317777777777778,41.21
-90.78527777777778,29.31972222222222,10.16
-91.3852777777778,29.320833333333333,10.67
-89.37805555555555,29.320833333333333,39.27
-91.21416666666669,29.32111111111111,6.98
-89.31194444444444,29.322777777777777,38.76
-89.39666666666668,29.324166666666667,36.78
-89.67055555555557,29.328888888888887,27.25
-90.40611111111112,29.33277777777778,9.82
-90.59833333333331,29.335277777777776,8.92
-89.94222222222223,29.33861111111111,22.74
-90.29305555555555,29.33972222222222,11.05
-90.76972222222224,29.34111111111111,9.05
-89.50277777777778,29.34111111111111,28.66
-89.47833333333334,29.341666666666665,29.15
-89.22222222222223,29.342222222222222,39.31
-89.44027777777778,29.35027777777778,32.94
-89.28527777777778,29.35083333333333,36.93
-91.145,29.351111111111116,4.72
-89.24083333333333,29.351944444444445,37.9
-89.52527777777777,29.352222222222224,26.2
-89.53722222222223,29.353611111111118,26.45
-89.43472222222222,29.353611111111118,32.24
-91.06083333333332,29.35527777777778,7.81
-89.4388888888889,29.35555555555556,32.81
-90.95972222222224,29.36055555555556,7.84
-89.465,29.363333333333333,30.29
-89.46472222222222,29.363333333333333,28.97
-89.79277777777777,29.363611111111112,17.25
-90.09805555555556,29.364444444444445,14.67
-90.47972222222222,29.36638888888889,7.92
-90.5497222222222,29.36638888888889,7.74
-89.9925,29.371111111111112,17.63
-91.38444444444444,29.37138888888889,5.36
-90.1086111111111,29.37361111111111,14.75
-90.53361111111111,29.37388888888889,7.28
-89.53,29.375,25.76
-89.52972222222222,29.37555555555556,25.85
-89.90305555555557,29.378055555555555,22.43
-90.38277777777778,29.379444444444445,7.62
-90.41055555555556,29.38611111111111,6.6
-89.60833333333333,29.386666666666667,25.28
-89.67055555555557,29.386944444444445,25.07
-90.61777777777776,29.387777777777774,6.02
-89.32027777777778,29.391666666666666,35.38
-90.19222222222224,29.39305555555556,10.42
-89.77361111111111,29.39527777777778,18.6
-89.48444444444445,29.3975,27.39
-90.48944444444444,29.399166666666662,5.52
-91.21138888888888,29.403888888888886,2.62
-89.68111111111112,29.404444444444444,24.23
-89.9863888888889,29.405555555555555,15.69
-89.61027777777777,29.40972222222222,24.95
-90.7002777777778,29.41,6.22
-90.77722222222222,29.41472222222222,4.2
-90.28416666666666,29.41583333333333,8.69
-90.84,29.41638888888889,4.69
-90.44944444444444,29.41861111111111,4.15
-89.6111111111111,29.424722222222226,25.61
-91.44444444444444,29.42888888888889,7.27
-89.51527777777778,29.432222222222222,24.69
-89.76777777777778,29.43611111111111,22.05
-90.7025,29.43694444444445,4.61
-89.44611111111111,29.44527777777778,27.97
-89.26444444444445,29.44611111111111,35.02
-91.25777777777778,29.447777777777777,3.27
-90.08333333333331,29.450555555555557,13.24
-89.23388888888888,29.454722222222223,34.58
-90.81694444444445,29.45722222222222,4.52
-91.22666666666667,29.461388888888887,2.77
-90.1677777777778,29.461388888888887,11.78
-89.89972222222222,29.4625,19.1
-90.3497222222222,29.46638888888889,2.85
-89.68861111111111,29.467777777777776,24.67
-90.81361111111111,29.46833333333333,4.11
-89.69472222222223,29.46972222222222,24.43
-91.86555555555556,29.47111111111111,2.69
-91.04388888888889,29.473888888888887,3.18
-89.23388888888888,29.477777777777774,33.25
-89.72638888888889,29.47888888888889,25.36
